	m00        mu02        mu11        mu20        mu03         mu12         mu21       mu30
r	83 403.855422 328.313253 1844.987952 741.921904 965.273625 169.959355 -2814.313543 
r	85 479.176471 414.470588 1960.988235 962.657439 1206.168858 267.728720 -3185.948512 
s	95 632.800000 -55.400000 1931.305263 -160.560000 -310.183158 -166.061053 438.271247 
s	97 642.226804 -67.216495 2015.979381 -45.580614 -334.882984 -169.196514 487.189925 
s	99 636.444444 -83.555556 2035.353535 -129.283951 -358.738496 -1.384961 -485.471278 
s	102 649.294118 -73.176471 2060.205882 -133.972318 -174.757785 -18.498270 -440.418685 
s	105 673.657143 -33.885714 2375.961905 -43.136327 -249.697415 -168.164354 260.994467 
s	112 723.678571 -9.892857 2437.964286 -99.302296 -190.113520 -7.664541 -900.730867 
s	103 664.873786 -22.990291 2113.922330 -130.324253 -316.473937 -66.926949 347.260251 
s	107 683.514019 -2.485981 2317.514019 -49.356800 -284.814744 13.802079 714.493668 
s	104 694.836538 -44.576923 2173.846154 -109.149963 -343.198964 -238.628698 377.165680 
s	111 729.693694 34.450450 2384.396396 -216.124341 -430.176447 33.519682 421.067770 
x	122 1314.631148 -362.147541 3079.540984 -280.889008 -2127.680193 -78.478635 -660.512765 
x	130 1504.776923 -425.876923 3406.276923 -464.373728 -2051.352426 42.780118 -680.029349 
x	133 1500.706767 -297.466165 3401.669173 -549.639211 -1729.075753 -207.032902 -875.713381 
x	130 1356.492308 -271.676923 3228.930769 -544.946272 -1815.933491 63.237396 -1284.462959 
x	130 1489.076923 -410.846154 3300.807692 -534.497041 -1262.840237 196.627219 -2234.130178 
x	133 1592.631579 -372.631579 3305.203008 -136.487535 -2244.219232 11.798180 -701.759512 
x	131 1544.595420 -431.587786 3278.900763 -447.943826 -2156.154886 125.741274 -271.172659 
x	130 1588.492308 -343.507692 3294.492308 -706.632426 -2700.755503 -21.032426 -599.463195 
x	138 1698.384058 -273.014493 3535.623188 -728.688931 -2754.202058 -180.253518 -238.649443 
x	139 1788.517986 -326.460432 3612.187050 -593.775477 -2451.436986 -273.512448 -688.150406 
z	110 1141.900000 104.500000 2942.590909 223.680000 -880.690909 -101.400000 2324.107438 
z	111 1211.585586 179.018018 2931.477477 273.016638 -1130.230257 252.227011 2252.398669 
z	115 1207.947826 90.556522 3040.730435 507.630851 -1056.433422 -134.866692 991.389641 
z	122 1363.704918 -13.524590 3281.122951 332.783123 -1045.259876 115.119054 2525.814566 
z	127 1438.866142 -33.212598 3416.897638 312.025296 -721.235414 204.066588 2135.283155 
z	125 1410.032000 68.664000 3480.528000 559.333632 -872.179136 -83.963072 632.240256 
z	124 1452.387097 163.419355 3501.120968 466.370447 -1518.620187 137.414152 1992.697320 
z	122 1378.532787 157.270492 3442.106557 417.020962 -962.097554 293.781242 1742.744424 
z	123 1482.796748 271.113821 3334.016260 121.940644 -1551.637980 480.256131 3019.580144 
z	126 1498.928571 8.404762 3512.039683 597.931973 -1818.820862 -208.073318 1407.515999 
